Trends,Search volume,Started,LLM summary,Related US stock,News sentiment score
powerball,2K+,"July 16, 2026 at 2:40:00 PM UTC+8",美國威力球於2026年7月15日開獎，頭獎逼近5億美元（約4.98億），引發民眾熱烈搜尋中獎號碼。多家媒體報導了開獎結果及是否有人中獎的後續。龐大獎金吸引公眾高度關注，導致7月16日搜尋量大幅上升，許多人急於確認開獎號碼及得主資訊。,,6
open championship,2K+,"July 16, 2026 at 2:20:00 PM UTC+8",2026年英國公開賽（The Open Championship）即將於皇家伯克戴爾球場開打，多家媒體於7月16日發布賽事預覽、專家預測與賠率分析，帶動搜尋熱度上升。《紐約時報》描述場地狀態硬且具挑戰性，CBS Sports提供選手奪冠預測，Yahoo Sports則關注天氣預報是否影響賽事。作為高爾夫四大滿貫壓軸賽事，球迷對參賽陣容與賽況的關注推升了搜尋量。,,6
tsmc stock,1K+,"July 16, 2026 at 2:10:00 PM UTC+8",台積電(TSMC)於2026年7月16日發布第二季財報，利潤大幅成長並超出市場預期。CNBC報導利潤增長23%，Yahoo Finance則報導飆升77%創歷史新高，兩者數據存在明顯差異，確切數據仍待確認。FXLeaders指出市場高度關注台積電財報中的關鍵資訊。受亮眼財報表現帶動，投資人搜尋量大增。,TSM,8
bryson dechambeau,1K+,"July 16, 2026 at 1:30:00 PM UTC+8",高爾夫球手Bryson DeChambeau成為搜尋熱門，主因是英國公開賽即將到來，而他本季在四大賽中表現不佳，多次遭淘汰。球評Brandel Chamblee公開嚴厲批評他的表現，諷刺他「在追Grant Horvat」（暗示重心轉向YouTube網紅合作而非競技）。此外，CBS報導他的LIV Golf合約即將到期，增添不確定性。球迷搜尋量上升可能源於對他能否在英國公開賽終結低迷狀態的關注，以及合約去向的討論。整體輿論偏負面。,,3
micah richards,1K+,"July 16, 2026 at 12:50:00 PM UTC+8",前英格蘭足球員兼BBC評論員Micah Richards在英格蘭對阿根廷的世界盃轉播開始前，得知父親突然離世的消息。多家媒體包括The Independent、ESPN及Wales Online均報導此事件。 Richards仍堅持完成轉播工作，此事引發大量關注與搜索。事件涉及BBC世界盃轉播團隊及英阿大戰賽事。搜索量激增的原因在於公眾人物在重大賽事轉播前遭遇至親猝逝的戲劇性與悲劇性，引起廣泛同情與討論。,,2
kim kardashian 1973 ford bronco,1K+,"July 16, 2026 at 12:40:00 PM UTC+8","金·卡戴珊以285,000美元購買一輛1973年福特Bronco復古越野車，用於其愛達荷州山區度假屋，消息由Complex、TMZ及InStyle等多家媒體報導後引發熱議。據InStyle指出，該車將加入卡戴珊價值380萬美元的汽車收藏，並在湖畔別墅首次亮相中展出。名人高價消費與經典車款話題的結合，加上社群媒體傳播效應，使搜尋量於7月16日急劇上升。",,6
apple iphone 18 pro,1K+,"July 16, 2026 at 12:30:00 PM UTC+8",Apple iPhone 18 Pro於2026年7月15日起成為搜尋熱點，因Mashable、PhoneArena及MSN等多家媒體同日發布相關報導。內容涵蓋iPhone 18 Pro的洩漏資訊、傳聞細節及預計發布時程，其中MSN指出Apple可能於9月初正式發表iPhone 18 Pro系列，PhoneArena則報導有新功能提升其成功機會。多則傳聞集中曝光，引發外界關注，搜尋量隨之上升。由於僅有RSS摘要，具體細節有限，部分資訊尚待官方確認。,AAPL,7
ryan garcia,1K+,"July 16, 2026 at 12:30:00 PM UTC+8",美國拳擊手Ryan Garcia將於9月12日在拉斯維加斯衛冕WBC次中量級冠軍頭銜，對戰英國拳手Conor Benn。UFC總裁Dana White於7月15日正式宣布這場備受矚目的對決。隨著多家體育媒體爭相報導此消息，民眾對該賽事的關注度急劇上升，帶動Ryan Garcia的搜尋熱度大幅增加。這標誌著兩位知名拳手的重要交鋒，引發熱烈討論。,,7
is fortnite down,500+,"July 16, 2026 at 4:00:00 PM UTC+8",《要塞英雄》（Fortnite）於2026年7月16日進行v41.20版本更新與伺服器維護，導致玩家無法登入而大量搜尋「is fortnite down」。此次更新預計帶來蝙蝠俠與小丑女等新內容，玩家關心伺服器何時恢復上線，進而推升了該關鍵字的搜尋熱度。,,5
united states midterm election,500+,"July 16, 2026 at 2:50:00 PM UTC+8",2026年美國期中選舉成為搜尋熱點，原因包括「保護民主」組織發布期中選舉常見問答、聯邦新聞網報導選舉投注賠率，以及《衛報》分析民主黨在搖擺州推動資料中心建設可能危及選情。選舉臨近，民眾對選制、賠率與政治策略的關注度上升，推動搜尋量增長。,,5
trump seattle prosecutor dismissal,500+,"July 16, 2026 at 2:40:00 PM UTC+8",川普政府於2026年7月16日在華盛頓州西雅圖任命新任聯邦檢察官後數分鐘內立即將其解職，引發高度關注。NBC News、FOX 13 Seattle及紐約時報均報導此事件，指出該檢察官由法院任命，卻在上任極短時間內遭川普政府開除。此一罕見且迅速的人事撤換引發政治與司法獨立性的疑慮，帶動搜尋熱度急升。相關報導細節有限，尚不清楚解職具體原因。,,3
britney spears,500+,"July 16, 2026 at 1:10:00 PM UTC+8",Britney Spears成為搜尋熱門話題，主要因多則新聞同時引發關注。最引人注目的是她在Studio City高速公路上以45英里時速從天窗站出車外的危險行為，且此事發生於她的酒駕指控被撤銷之後。同時，前夫Sam Asghari受訪表示對她「只有愛」，並宣傳新電影。此外，她2016年Apple Music Festival的表演片段也重新流傳。這些事件共同推高了搜尋熱度，尤其危險駕車行為引發公眾擔憂。,,3
carl isom mcdaniel bison encounter,500+,"July 16, 2026 at 1:10:00 PM UTC+8",黃石公園發生驚險的野牛攻擊事件，祖父Carl Isom McDaniel為保護孫子，引開野牛卻遭拋飛至八英尺高空。攝影師拍下過程並曝光細節，祖父事後受訪表示「牠本可以刺穿我」。黃石公園隨後做出「意想不到的決定」引發關注。事件因祖父英勇行為、驚險畫面與公園後續處置而引發大量搜尋與討論。整體事件雖結局尚可，但攻擊本身極具危險性。,,3
jd vance,500+,"July 16, 2026 at 12:50:00 PM UTC+8",美國副總統JD Vance因公開承認政府在愛潑斯坦（Epstein）文件發布過程中「搞砸了溝通」而登上熱搜。多家媒體報導，Vance坦承處理不當，引發輿論關注。此外，有消息指出其維安團隊對臨時安排的個人家族行程感到不滿。兩起事件叠加，推升了民眾對Vance的搜尋熱度。,,3
cyberpunk 2077,500+,"July 16, 2026 at 12:40:00 PM UTC+8",根據新聞來源，Cyberpunk 2077 正式宣布將於明年推出雄心勃勃的新作，並公開了全新遊戲畫面。由 Collider 與 IMDb 報導，續作正在開發中，引發玩家高度關注。此外，一款被形容為「Cyberpunk 2077 結合 Disco Elysium」的 Steam 新 RPG 遊戲也受到矚目。搜尋量激增的原因在於官方揭示了新作的遊戲內容與發售時程，使粉絲期待感大幅上升。由於來源僅提供標題與摘要，具體開發商名稱、發售日期及平台等細節尚無法確認。,,8
fortnite,200+,"July 16, 2026 at 4:00:00 PM UTC+8",Fortnite 在 2026 年 7 月 16 日成為熱搜話題，主因是遊戲伺服器因進行 v41.20 版本更新維護而暫時停機，大量玩家搜尋伺服器恢復時間。此外，Batman Sprite 聯動皮膚即將上線的消息也引發關注。玩家對停機時間的不確定性及新內容的期待共同推高了搜尋量。,,6
shedeur sanders,200+,"July 16, 2026 at 4:00:00 PM UTC+8",Shedeur Sanders 近期成為搜尋熱門話題，主要因為他與克里夫蘭布朗隊的四分衛競爭備受關注。NBC Sports 報導指出，若 Sanders 付出足夠努力，有機會贏得布朗隊先發位置；Dawgs By Nature 的數據分析也評估了他的表現趨勢。此外，Fox News 報導 Joe Flacco 曾批評 Sanders 上季戴頭盔面罩「看起來像白痴」，引發討論，進一步推升搜尋熱度。整體而言，新聞圍繞 Sanders 的場上潛力與場外爭議，訊息存在不同角度的解讀。,,5
plummer,200+,"July 16, 2026 at 3:10:00 PM UTC+8",「plummer」搜尋熱度上升可能由多則同名新聞共同驅動。首先，已故演員Christopher Plummer位於康乃狄克州Darien的濱水莊園（建於1866年，含私人海灘與泳池）被媒體報導，引發公眾對名人房產的關注。其次，一宗謀殺案因咬痕證據被排除，法官正考慮釋放被告，被告姓氏可能與Plummer有關，但來源未明確確認。此外，緬因州Plummer Point Preserve的導覽健行活動亦被報導，但影響較小。由於來源資訊有限，個別事件的確切關聯性仍存在不確定性。,,5
jennifer lawrence,200+,"July 16, 2026 at 2:20:00 PM UTC+8",珍妮佛·勞倫斯近期成為搜尋熱門話題，主要因為她最新的深棕色髮型轉變引發媒體關注。AOL報導了她懷舊風格的棕髮造型，Access Hollywood則以她與Zoe Kravitz為靈感提供「It-Girl」美妝教學。此外，MSN的時尚報導也提及她與夏季高級夾腳拖鞋潮流的關聯。這些時尚與美容相關的報導共同推升了她的搜尋熱度。,,7
mason haynes,200+,"July 16, 2026 at 2:00:00 PM UTC+8",卡戴珊家族長期保鏢Mason Haynes於52歲因交通事故不幸辭世，引發大量搜尋關注。Haynes不僅負責保護卡戴珊家族成員，也積極投入反霸凌使命。多家媒體於2026年7月15日至16日報導其死訊，稱讚他為「各方面的巨人」。搜尋量激增主要與名人關聯及突如其來的悲劇有關。,,2
