Trends,Search volume,Started,LLM summary,Related US stock,News sentiment score
shilo sanders,2K+,"July 16, 2026 at 10:50:00 AM UTC+8",Shilo Sanders，NFL名宿Deion Sanders之子，近期因破產案中法官對證據作出裁決而引發關注，搜尋量大幅上升。此外，MARCA報導他與Brittany Renner的首次約會花費350美元，也進一步推升話題熱度。多則新聞同時報導其法律訴訟與個人生活，使搜索興趣增加。,,4
tsmc stock,1K+,"July 16, 2026 at 2:10:00 PM UTC+8",台積電（TSMC）公布2026年第二季財報，獲利大幅成長並超出市場預期，帶動搜尋熱度急升。然而各來源數據存在分歧：CNBC報導獲利增長23%，Yahoo Finance則稱獲利暴增77%並創歷史新高，差異可能源自計算基準不同。The Street指出市場密切關注台積電在AI晶片領域的表現，高端晶片需求蓬勃為獲利增長主因，吸引投資人高度關注其後續展望。,TSM,8
rory mcilroy,1K+,"July 16, 2026 at 1:40:00 PM UTC+8",Rory McIlroy搜尋量激增，主要原因為2026年英國公開賽即將到來，多家媒體聚焦他與Scottie Scheffler的參賽前景、DFS夢幻體育選秀價值及歷史定位等議題。此外，McIlroy受訪時表示「不知道」為何自己尚未獲封爵，此番言論也引發關注。綜合賽事話題與個人言論，推升了搜尋熱度。,,6
apple iphone 18 pro,1K+,"July 16, 2026 at 12:30:00 PM UTC+8",多則媒體報導指出蘋果（Apple）預計於2026年9月初發表iPhone 18 Pro系列，Mashable、PhoneArena及MSN等媒體於7月15日陸續發布相關傳聞與爆料，涵蓋發表日期與新功能細節，PhoneArena更稱新設計提升成功機率。這些消息引發搜尋熱度上升。,AAPL,6
willow,1K+,"July 16, 2026 at 12:20:00 PM UTC+8",「Willow」近期因多則新聞同時登上熱搜。好市多（Costco）售出的沙漠柳樹疑似攜帶入侵性害蟲，可能威脅加州葡萄園；科羅拉多州發生「Willow Fire」野火，參議員Hickenlooper前往視察討論；電子藝界（EA）則發布「Willow Creek Inn」相關內容。多起與「willow」相關事件同時發生，促使搜尋量激增。其中害蟲與野火議題帶來負面影響，EA內容則屬中性。,"COST,EA",4
seth rogen,1K+,"July 16, 2026 at 12:00:00 PM UTC+8",賽斯·羅根（Seth Rogen）成為搜尋熱點，主因是AOL於7月15日報導他正式加入DC宇宙（DCU），並飾演一個出乎意料的新角色，引發大量關注與討論。其餘兩篇報導則與電影《The Invite》的影評有關，由奧利維亞·魏爾德執演，但與羅根並無直接關聯。搜尋量上升可能反映觀眾對羅根加入DCU的驚訝與好奇。,,6
angelina jolie,1K+,"July 16, 2026 at 11:40:00 AM UTC+8",安潔莉娜裘莉近期登上搜尋趨勢，主因是她與布萊德彼特的雙胞胎子女剛滿18歲，雙方已達成重大監護權變更協議，消息指出她已「準備好」迎接人生新篇章。同時，她前往布吉納法索探訪難民的人道行動也受到媒體關注，進一步推升了大眾對她的討論與搜尋熱度。,,6
ilona maher,1K+,"July 16, 2026 at 10:50:00 AM UTC+8",美國橄欖球選手Ilona Maher於2026年ESPYS頒獎典禮紅毯上身穿來自TJ Maxx的鏤空禮服亮相，被媒體封為「終極Maxxinista」，其妝容更使用了僅9美元的Maybelline眼影。平價時尚搭配運動明星身份引發話題，搜尋熱度因此大幅上升。,TJX,8
bryson dechambeau,500+,"July 16, 2026 at 1:30:00 PM UTC+8",高爾夫球手Bryson DeChambeau因即將到來的英國公開賽而成為焦點，但消息面偏負面。球評Brandel Chamblee與名將Nick Faldo雙雙公開嚴厲批評他在四大賽中屢遭淘汰的表現，Faldo更表示「當面也會這麼說」。多位評論員的抨擊加上他試圖終結重大賽事低迷走勢的話題，使搜尋熱度在賽前大幅攀升。,,3
britney spears,500+,"July 16, 2026 at 1:10:00 PM UTC+8",知名歌手布蘭妮·斯皮爾斯（Britney Spears）近日成為搜尋熱點，原因涵蓋多則新聞同時出現。前夫山姆·阿斯加里（Sam Asghari）受訪表示對布蘭妮「只有愛」，並宣傳新電影。然而更引人關注的是，布蘭妮在DUI指控被撤銷後，被拍到在時速45英里的Studio City高速公路上從天窗站出，行為危險引發外界擔憂。另有媒體發布她經典歌曲《...Baby One More Time》相關內容。這些事件密集出現，導致搜尋量激增。,,3
carl isom mcdaniel bison encounter,500+,"July 16, 2026 at 1:10:00 PM UTC+8",卡爾·麥克丹尼爾（Carl Isom McDaniel）在黃石公園遇到野牛襲擊事件引發熱搜。這位祖父為保護孫子，將野牛引開，結果被野牛拋飛8英尺高。他事後受訪表示「牠本可以刺穿我」，形容這次經歷非常恐怖。黃石公園在事件引發網路熱議後做出意外決定。搜尋量上升的原因包括祖父的英勇行為、襲擊影片的病毒式傳播，以及他事後首度發聲引發關注。由於新聞來源僅提供標題與摘要，部分細節尚不明確。,,6
jd vance,500+,"July 16, 2026 at 12:50:00 PM UTC+8",JD Vance因多則新聞引發搜尋熱潮。他在Joe Rogan訪談中談及伊朗、Epstein檔案及太空旅行等議題，隨後承認在Epstein檔案發布的溝通上出現錯誤，稱「我們搞砸了溝通」。同時，有報導指其維安團隊對其臨時安排的個人及家庭旅行請求感到不滿。這些事件叠加，尤其是Rogan訪談的高曝光度及Epstein檔案爭議，推升了搜尋量。整體而言，消息偏向負面。,,3
micah richards,500+,"July 16, 2026 at 12:50:00 PM UTC+8",前英格蘭足球員兼BBC球評Micah Richards在英格蘭對阿根廷賽事轉播前夕得知父親離世的消息，引發廣泛關注。據BBC報導，Richards形容父親是他「最大的球迷」。多間媒體包括The Independent及The Telegraph均報導此事件，指出他在開播前一刻才獲告知父親過世，仍堅持完成工作。此消息令人動容，搜尋量因此大幅上升。,,2
kim kardashian 1973 ford bronco,500+,"July 16, 2026 at 12:40:00 PM UTC+8",金·卡達夏以28.5萬美元購入一輛1973年福特Bronco復古越野車，停放在她的愛達荷州山區度假屋。據Complex、TMZ及InStyle報導，這輛古董車是她380萬美元車藏的最新收藏品。消息於7月15日曝光後，因名人效應、高價標籤及復古車話題性，迅速引發大量網路搜尋。,,6
ryan garcia,500+,"July 16, 2026 at 12:30:00 PM UTC+8",拳擊手Ryan Garcia將於9月12日在拉斯維加斯衛冕WBC冠軍頭銜，對戰英國拳手Conor Benn。UFC主席Dana White正式宣布這場比賽，ESPN及MMA Fighting等多家媒體均確認此消息。這場備受矚目的跨國拳擊大戰宣布後，引起廣泛關注，帶動Ryan Garcia的搜尋量大幅上升。,,6
molly shannon,500+,"July 16, 2026 at 12:10:00 PM UTC+8",美國女星Molly Shannon近期成為搜尋熱門，主因多篇媒體報導她近期的訪談內容。據People.com，她回憶早年擔任女服務生時曾接待過尚未大紅的Jennifer Aniston；USA Today與BroadwayWorld則報導她暢談與Will Ferrell長達30年的友誼，以及她獲得好萊塢星光大道星星的殊榮。這些懷舊與名人互動話題引發關注，推升搜尋熱度。,,8
ike barinholtz,500+,"July 16, 2026 at 12:00:00 PM UTC+8",喜劇演員Ike Barinholtz近日擔任《吉米A咖秀》代班主持人時，對參議員Lindsey Graham及其妹妹開了粗俗玩笑，引發媒體報導與爭議。由於玩笑涉及現任政治人物且內容敏感，導致大眾搜尋量在7月16日急劇上升。目前新聞來源並未提及與此事件相關的上市公司。,,3
sdge power outage,500+,"July 16, 2026 at 12:00:00 PM UTC+8","SDG&E（聖地牙哥天然氣與電力公司）大規模停電事件引發搜尋熱潮。根據NBC Los Angeles及Orange County Register報導，南橙縣超過22,500名用戶受停電影響；fox5sandiego.com亦報導Chula Vista有超700名居民停電。停電範圍廣泛且影響人數眾多，是搜尋量急劇上升的主因。",,2
posiciones de barcelona sc contra guayaquil city,500+,"July 16, 2026 at 11:40:00 AM UTC+8",搜尋量激增的原因是厄瓜多LigaPro 2026賽季第11輪比賽即將到來，巴塞隆納SC（Barcelona SC）對陣瓜亞基爾城（Guayaquil City）的比賽引發關注。球迷急於查詢兩隊的最新積分排名與比賽資訊。由於新聞來源僅提供標題與摘要，缺乏詳細比分與排名數據，具體戰績尚無法確認。,,5
existential war,500+,"July 16, 2026 at 10:50:00 AM UTC+8",美國對伊朗發動新一輪軍事打擊後，伊朗宣布先前達成的和平協議失效，並警告這是一場與美國的「生存之戰」（existential war）。此一急劇升級的局勢引發全球對中東衝突擴大的擔憂，促使「existential war」的搜尋量在短時間內飆升。事件涉及美國與伊朗兩國，雙方軍事衝突加劇且外交途徑中斷，導致民眾高度關注此一可能影響全球安全的地緣政治危機。,,1
